dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,erpnext_database,tabPOS Closing Voucher Invoices,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabPurchase Receipt,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,creation,2,datetime,,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,modified,3,datetime,,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabPOS Closing Voucher Invoices,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabPOS Closing Voucher Invoices,docstatus,6,int,,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,parent,7,varchar,140,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,idx,10,int,,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,grand_total,11,decimal,,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,qty_of_items,12,varchar,140,,,,
mysql,erpnext_database,tabPOS Closing Voucher Invoices,invoice,13,varchar,140,FOREIGN KEY,erpnext_database,tabSales Invoice,name
mysql,erpnext_database,tabPurchase Receipt,creation,2,datetime,,,,,
mysql,erpnext_database,tabPurchase Receipt,modified,3,datetime,,,,,
mysql,erpnext_database,tabPurchase Receipt,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabPurchase Receipt,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabPurchase Receipt,docstatus,6,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,parent,7,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,idx,10,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,supplier_name,11,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,lr_date,12,date,,,,,
mysql,erpnext_database,tabPurchase Receipt,title,13,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,return_against,14,varchar,140,FOREIGN KEY,erpnext_database,tabPurchase Receipt,name
mysql,erpnext_database,tabPurchase Receipt,supplier_delivery_note,15,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,set_posting_time,16,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,taxes_and_charges_added,17,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,address_display,18,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,ignore_pricing_rule,19,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,disable_rounded_total,20,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,_assign,21,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,base_discount_amount,22,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,base_total_taxes_and_charges,23,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,instructions,24,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,buying_price_list,25,varchar,140,FOREIGN KEY,erpnext_database,tabPrice List,name
mysql,erpnext_database,tabPurchase Receipt,discount_amount,26,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,is_return,27,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,select_print_heading,28,varchar,140,FOREIGN KEY,erpnext_database,tabPrint Heading,name
mysql,erpnext_database,tabPurchase Receipt,base_rounding_adjustment,29,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,total_taxes_and_charges,30,decimal,,,,,
